ZEAT;NUTS3;HAB4;SEX;AGE;LIEN;NPFQ;RS4;RS14;RS20;RS21;RS22;RS22B;RS30;PCSI1;PCSC2;E15;Weight;QFRA_1c;QFRA_2c;QFRA_5c;QFRA_10c;QFRA_20c;QFRA_50c;QFRA_1e;QFRA_2e;QALL_1c;QALL_2c;QALL_5c;QALL_10c;QALL_20c;QALL_50c;QALL_1e;QALL_2e;QAUT_1c;QAUT_2c;QAUT_5c;QAUT_10c;QAUT_20c;QAUT_50c;QAUT_1e;QAUT_2e;QBEL_1c;QBEL_2c;QBEL_5c;QBEL_10c;QBEL_20c;QBEL_50c;QBEL_1e;QBEL_2e;QESP_1c;QESP_2c;QESP_5c;QESP_10c;QESP_20c;QESP_50c;QESP_1e;QESP_2e;QFIN_1c;QFIN_2c;QFIN_5c;QFIN_10c;QFIN_20c;QFIN_50c;QFIN_1e;QFIN_2e;QGRE_1c;QGRE_2c;QGRE_5c;QGRE_10c;QGRE_20c;QGRE_50c;QGRE_1e;QGRE_2e;QIRL_1c;QIRL_2c;QIRL_5c;QIRL_10c;QIRL_20c;QIRL_50c;QIRL_1e;QIRL_2e;QITA_1c;QITA_2c;QITA_5c;QITA_10c;QITA_20c;QITA_50c;QITA_1e;QITA_2e;QLUX_1c;QLUX_2c;QLUX_5c;QLUX_10c;QLUX_20c;QLUX_50c;QLUX_1e;QLUX_2e;QPAYB_1c;QPAYB_2c;QPAYB_5c;QPAYB_10c;QPAYB_20c;QPAYB_50c;QPAYB_1e;QPAYB_2e;QPOR_1c;QPOR_2c;QPOR_5c;QPOR_10c;QPOR_20c;QPOR_50c;QPOR_1e;QPOR_2e
Nielsen III (Centre);BE1;1;2;24;2;3;2;2;1;1;3;6;1;11;13;1;0,4341;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nielsen IV (Sud Ouest);BE323;2;2;22;2;4;NA;2;2;2;7;3;2;17;12;2;1,8065;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;4;3;5;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nielsen IV (Sud Ouest);BE323;2;2;33;2;3;2;2;1;1;6;3;1;12;13;1;1,0703;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;3;2;4;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nielsen IV (Sud Ouest);BE323;2;2;23;2;3;NA;2;1;1;3;3;1;19;13;1;0,4457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;2;3;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nielsen V (Sud Est);BE333;2;2;26;2;4;NA;2;1;1;3;3;1;19;13;1;1,0061;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nielsen III (Centre);BE1;1;2;36;1;1;2;2;2;2;3;3;1;11;11;2;0,3374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nielsen IV (Sud Ouest);BE322;2;2;37;2;4;NA;NA;1;1;2;1;1;18;19;1;2,2453;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nielsen V (Sud Est);BE351;4;2;18;2;3;NA;2;2;2;2;3;2;17;11;2;0,6756;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;3;4;2;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nielsen V (Sud Est);BE351;4;2;38;2;4;2;2;1;1;6;6;1;12;12;1;1,9317;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;1;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
Nielsen III (Centre);BE1;1;2;16;2;5;NA;1;2;2;2;5;2;17;3;1;0,8759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
