SEXE;AGQ;NPF5;g10;LAND;N3_03;g13;penf;g18;g6;g23;g25;g3;g3c;pcsi11;pcsi;ACTI;revr;pcsc11;pcsc;ACTC;revh;pip;QFRA_1c;QFRA_2c;QFRA_5c;QFRA_10c;QFRA_20c;QFRA_50c;QFRA_1e;QFRA_2e;QALL_1c;QALL_2c;QALL_5c;QALL_10c;QALL_20c;QALL_50c;QALL_1e;QALL_2e;QAUT_1c;QAUT_2c;QAUT_5c;QAUT_10c;QAUT_20c;QAUT_50c;QAUT_1e;QAUT_2e;QBEL_1c;QBEL_2c;QBEL_5c;QBEL_10c;QBEL_20c;QBEL_50c;QBEL_1e;QBEL_2e;QESP_1c;QESP_2c;QESP_5c;QESP_10c;QESP_20c;QESP_50c;QESP_1e;QESP_2e;QFIN_1c;QFIN_2c;QFIN_5c;QFIN_10c;QFIN_20c;QFIN_50c;QFIN_1e;QFIN_2e;QGRE_1c;QGRE_2c;QGRE_5c;QGRE_10c;QGRE_20c;QGRE_50c;QGRE_1e;QGRE_2e;QIRL_1c;QIRL_2c;QIRL_5c;QIRL_10c;QIRL_20c;QIRL_50c;QIRL_1e;QIRL_2e;QITA_1c;QITA_2c;QITA_5c;QITA_10c;QITA_20c;QITA_50c;QITA_1e;QITA_2e;QLUX_1c;QLUX_2c;QLUX_5c;QLUX_10c;QLUX_20c;QLUX_50c;QLUX_1e;QLUX_2e;QPAYB_1c;QPAYB_2c;QPAYB_5c;QPAYB_10c;QPAYB_20c;QPAYB_50c;QPAYB_1e;QPAYB_2e;QPOR_1c;QPOR_2c;QPOR_5c;QPOR_10c;QPOR_20c;QPOR_50c;QPOR_1e;QPOR_2e
2;46;4;3;10;DE112;3;1;1;2;3;2;2;1;5;2;3;6;6;1;4;9;1,353;0;0;0;0;1;0;0;1;3;1;1;2;2;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;61;1;3;10;DE112;4;2;1;1;2;2;1;1;5;2;3;6;5;2;3;6;1,266;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;77;2;3;10;DE112;3;2;2;1;3;3;3;3;10;6;7;6;10;6;7;8;1,644;0;0;0;0;0;0;0;0;2;3;1;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;19;5;3;10;DE112;1;2;2;2;3;2;3;3;11;6;8;3;11;6;8;9;0,952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;65;2;3;10;DE112;3;2;1;2;2;2;3;3;10;6;7;4;10;6;7;7;1,78;0;0;0;0;0;0;0;0;1;1;5;1;2;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;53;3;3;10;DE112;3;2;2;1;3;3;1;1;5;2;3;7;5;2;3;8;0,784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;38;2;3;10;DE112;4;1;1;1;3;3;1;1;3;4;1;7;3;4;1;7;0,597;0;0;0;0;0;0;0;0;1;2;1;3;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2;64;1;3;10;DE112;4;2;1;1;3;3;3;3;10;6;7;6;10;6;7;6;1,572;0;0;0;0;0;0;0;0;5;3;1;2;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;27;2;3;10;DE113;3;2;2;1;2;2;1;1;6;1;4;7;6;1;4;8;1,819;0;0;0;0;0;0;0;0;2;3;1;3;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;38;4;5;10;DE113;3;1;1;2;3;3;2;1;5;2;3;5;5;2;3;12;0,805;0;0;0;0;0;0;0;0;3;2;1;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;65;1;5;10;DE113;4;2;1;1;3;3;3;3;10;6;7;1;10;6;7;1;1,305;0;0;0;0;0;0;0;0;3;2;4;2;1;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;51;2;4;10;DE113;4;2;1;1;3;3;1;1;5;2;3;8;5;2;3;10;1,075;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;63;2;5;10;DE113;3;2;2;1;3;3;1;1;5;2;3;10;5;2;3;11;1,215;0;0;0;0;0;0;0;0;0;0;2;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;23;1;4;10;DE113;1;2;1;1;2;2;1;1;5;2;3;5;5;2;3;5;0,981;0;0;0;0;0;0;0;0;1;2;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;56;1;4;10;DE113;4;2;1;1;2;2;1;1;6;1;4;1;6;1;4;1;2,182;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;71;2;2;10;DE113;3;2;1;2;2;2;3;3;10;6;7;3;10;6;7;8;2,134;0;0;0;0;0;0;0;1;2;1;2;1;2;1;3;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;62;1;5;10;DE113;4;2;1;1;2;2;3;3;10;6;7;6;10;6;7;6;1,183;0;0;0;0;0;0;0;0;3;1;2;3;1;1;3;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;19;3;2;10;DE113;1;1;2;2;9;2;3;1;7;6;5;1;5;2;3;1;0,718;0;0;0;0;0;0;1;0;0;0;1;0;1;1;2;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;36;3;5;10;DE113;4;1;1;1;3;3;1;1;3;4;1;1;3;4;1;1;0,593;0;0;0;0;0;0;0;0;1;1;0;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;21;2;5;10;DE113;1;2;2;2;4;3;3;1;7;6;5;1;5;2;3;1;0,842;0;0;0;0;0;0;0;0;1;0;1;2;1;0;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;33;4;5;10;DE113;4;1;1;1;2;2;2;2;5;2;3;1;5;2;3;1;0,805;0;0;0;0;0;0;0;0;2;4;1;3;1;2;3;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;51;2;2;10;DE113;2;2;2;1;5;5;1;1;1;5;2;1;3;4;1;1;0,629;0;0;0;0;0;0;0;0;1;2;1;1;2;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;37;3;5;10;DE113;4;1;1;1;3;3;1;1;3;4;1;11;3;4;1;11;0,77;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;50;2;4;10;DE115;2;2;2;1;3;3;1;1;5;2;3;1;5;2;3;1;0,815;0;0;0;0;0;0;0;1;2;1;0;1;0;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;61;1;4;10;DE115;4;2;1;1;3;3;2;2;5;2;3;7;5;2;3;7;1,081;0;0;0;0;0;0;0;0;0;2;3;2;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;50;3;6;10;DE116;3;2;1;2;3;3;1;1;3;4;1;8;3;4;1;10;0,889;0;0;0;0;0;0;0;0;0;4;2;1;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;36;3;6;10;DE116;3;1;1;2;2;3;2;1;5;2;3;3;5;2;3;8;0,677;0;0;0;0;0;0;0;0;3;0;2;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;50;4;6;10;DE116;3;1;2;1;3;3;1;1;5;2;3;4;5;2;3;10;1,227;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;43;1;6;10;DE116;1;2;1;1;5;5;1;1;4;3;3;8;5;2;3;8;0,863;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;30;3;6;10;DE116;2;1;2;1;4;4;1;1;5;2;3;7;5;2;3;8;0,706;0;0;0;0;0;0;0;0;3;4;6;4;5;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;36;3;6;10;DE116;1;1;1;1;2;2;2;2;5;2;3;5;5;2;3;5;0,677;0;0;0;0;0;0;0;0;2;0;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;49;5;6;10;DE116;3;2;1;2;4;4;2;1;5;2;3;4;4;3;3;10;0,84;0;0;2;0;0;0;0;0;1;0;2;2;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;56;1;6;10;DE116;1;2;1;1;3;3;2;2;6;1;4;5;6;1;4;5;1,753;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;67;5;3;10;DE118;4;1;2;2;2;3;3;3;10;6;7;1;11;6;8;1;1,781;0;0;0;0;0;0;0;0;0;1;2;3;2;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1;48;5;3;10;DE118;3;1;2;1;5;5;1;1;3;4;1;1;3;4;1;1;0,88;0;0;0;3;0;0;2;0;2;0;0;3;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;26;2;3;10;DE118;2;2;1;2;3;4;1;1;5;2;3;6;5;2;3;9;0,784;0;0;0;0;0;0;0;0;1;2;1;3;0;0;3;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;54;2;5;10;DE11A;3;2;1;2;2;3;2;1;6;1;4;1;5;2;3;1;1,003;0;0;0;0;0;0;0;0;4;3;7;3;6;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;36;4;5;10;DE11A;3;1;1;2;3;2;3;1;9;6;6;2;6;1;4;7;1,421;0;0;0;0;0;1;0;0;3;4;0;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;37;3;5;10;DE11A;3;1;2;1;2;2;1;1;6;1;4;5;6;1;4;8;1,455;0;0;0;0;0;0;0;0;2;0;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;43;3;5;10;DE11A;2;1;1;2;4;3;2;1;5;2;3;1;5;2;3;1;0,7;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
